chinese,english,pinyin,notes
雪碧,Spritesoft drink,xuěbì,
菜单,menu,càidān,
服务员,waiter; waitress,fúwùyuán,
顾客,customer,gùkè,
账单,bill; check,zhàngdān,
现金,cash,xiànjīn,
信用卡,credit card,xìnyòngkǎ,
请稍等,please wait a moment,qǐng shāo děng,common phrase,
谢谢,thank you,xièxie,
不用谢,you're welcome,bú yòng xiè,
再来一份,another portion,zài lái yī fèn,
买单,to pay the bill,mǎidān,verb,
打包,to pack for takeout,dǎbāo,verb,
外卖,takeout; delivery,wàimài,
堂食,dine-in,tángshí,
辣不辣,spicy or not?,là bù là,question phrase,
不辣,not spicy,bú là,
微辣,mildly spicy,wēi là,
中辣,medium spicy,zhōng là,
特辣,extra spicy,tè là,
请给我...,please give me...,qǐng gěi wǒ...,phrase,
一碗,a bowl of,yī wǎn,measure word,
一盘,a plate of,yī pán,measure word,
一份,a portion of,yī fèn,measure word,
一瓶,a bottle of,yī píng,measure word,
一杯,a cup of,yī bēi,measure word,
汤匙,spoon;tāngchí,
筷子,chopsticks,kuàizi,
叉子,fork,chāzi,
刀子,knife,dāozi,
碗,bowl,wǎn,
盘子,plate,pánzi,
杯子,cup; glass,bēizi,
桌子,table,zhuōzi,
椅子,chair,yǐzi,
纸巾,napkin; tissue,zhǐjīn,
餐巾纸,napkin,cānjīnzhǐ,
餐具,tableware,cānjù,
锅,pot; wok,guō,
火锅,hot pot,huǒguō,
铁板,iron plate (teppan),tiěbǎn,
砂锅,clay pot,shāguō,
蒸,to steam,zhēng,verb,
煮,to boil; cook,zhǔ,verb,
炒,to stir-fry,chǎo,verb,
炸,to deep-fry,zhà,verb,
烤,to roast; grill,kǎo,verb,
焖,to braise,mèn,verb,
炖,to stew,dùn,verb,
切,to cut; slice,qiē,verb,
剁,to chop,duò,verb,
配料,ingredients,pèiliào,
主料,main ingredient,zhǔliào,
辅料,side ingredient,fǔliào,
调料,seasoning,tiáoliào,
香菜,coriander; cilantro,xiāngcài,
葱,green onion,cōng,
蒜泥,mashed garlic,suànní,
姜片,ginger slice,jiāngpiàn,
花椒,Sichuan pepper,huājiāo,
八角,star anise,bājiǎo,
桂皮,cinnamon stick,guìpí,
香叶,bay leaf,xiāngyè,
鸡蛋,egg,jīdàn,
皮蛋,century egg,pídàn,
鸭蛋,duck egg,yādàn,
豆芽,bean sprout,dòuyá,
黄瓜,cucumber,huángguā,
西红柿,tomato,xīhóngshì,
胡萝卜,carrot,húluóbo,
木耳,black fungus,mùěr,
香菇,shiitake mushroom,xiānggū,
金针菇,enoki mushroom,jīnzhēngū,
豆皮,tofu skin,dòupí,
豆干,dried tofu,dòugān,
豆花,soft tofu pudding,dòuhuā,
牛奶,milk,niúnǎi,
酸奶,yoghurt,suānnǎi,
冰淇淋,ice cream,bīngqílín,
蛋糕,cake,dàngāo,
饼,bing (flatbread),bǐng,
煎饼,Chinese crepe; pancake,jiānbǐng,
月饼,mooncake,yuèbǐng,
包饭,rice wrap,bāofàn,
寿司,sushi,shòusī,loanword,
沙拉,salad,shālā,loanword,
牛排,steak,niúpái,
披萨,pizza,pīsà,loanword,
汉堡,burger,hànbǎo,loanword,
薯条,French fries,shǔtiáo,
薯片,potato chips,shǔpiàn,
三明治,sandwich,sānmíngzhì,
热狗,hot dog,règǒu,
炒青菜,stir-fried greens,chǎo qīngcài,
宫保鸡丁,Kung Pao chicken,gōngbǎo jīdīng,
麻婆豆腐,Mapo tofu,mápó dòufu,
鱼香肉丝,fish-flavored pork,yúxiāng ròusī,
糖醋里脊,sweet and sour pork,táng cù lǐjǐ,
红烧肉,braised pork,hóngshāo ròu,
清蒸鱼,steamed fish,qīngzhēng yú,
水煮鱼,boiled fish in chili oil,shuǐzhǔ yú,
香辣虾,spicy shrimp,xiānglà xiā,
酸辣汤,hot and sour soup,suānlà tāng,
馄饨,wonton,húntun,
拉面,hand-pulled noodles,lāmiàn,
刀削面,knife-cut noodles,dāoxiāomiàn,
米线,rice vermicelli,mǐxiàn,
凉皮,cold skin noodles,liángpí,
卤肉,braised meat,lǔròu,
烤鸭,roast duck,kǎoyā,
北京烤鸭,Peking duck,běijīng kǎoyā,
叉烧,barbecued pork,chāshāo,
烧鹅,roast goose,shāo é,
小笼包,soup dumpling,xiǎolóngbāo,
生煎包,pan-fried bun,shēngjiānbāo,
汤包,soup bun,tāngbāo,
米糕,rice cake,mǐgāo,
年糕,New Year cake; rice cake,niángāo,
粽子,sticky rice dumpling,zòngzi,
豆沙包,red bean bun,dòushābāo,
莲蓉包,lotus paste bun,liánróngbāo,
芝麻球,sesame ball,zhīmáqiú,
烧饼,flat baked bread,shāobǐng,
油条,fried dough stick,yóutiáo,
豆浆,soy milk,dòujiāng,
小米粥,millet porridge,xiǎomǐ zhōu,
红豆汤,red bean soup,hóngdòu tāng,
绿豆汤,mung bean soup,lǜdòu tāng,
八宝粥,eight-treasure porridge,bābǎo zhōu,
莲子羹,lotus seed soup,liánzǐ gēng,
冰粉,ice jelly,bīngfěn,
刨冰,shaved ice,bàobīng,
糖水,sweet syrup soup,tángshuǐ,
桂花糕,osmanthus cake,guìhuā gāo,
糯米糍,glutinous rice ball,nuòmǐcí,
汤圆,sweet rice ball,tāngyuán,
元宵,sweet glutinous rice ball,yuánxiāo,
麻花,fried dough twist,máhuā,
绿豆糕,mung bean cake,lǜdòu gāo,
莲子粥,lotus seed porridge,liánzǐ zhōu,
冰镇饮料,chilled drink,bīngzhèn yǐnliào,
热饮,hot drink,rèyǐn,
清汤,clear soup,qīngtāng,
浓汤,thick soup,nóngtāng,
排骨汤,pork rib soup,páigǔ tāng,
海鲜汤,seafood soup,hǎixiān tāng,
鸡汤,chicken soup,jītāng,
牛骨汤,beef bone soup,niúgǔ tāng,
火腿,ham,huǒtuǐ,
香肠,sausage,xiāngcháng,
培根,bacon,péigēn,
蛋花汤,egg drop soup,dànhuā tāng,
紫菜蛋花汤,seaweed egg soup,zǐcài dànhuā tāng,
玉米汤,corn soup,yùmǐ tāng,
番茄汤,tomato soup,fānqié tāng,
蔬菜汤,vegetable soup,shūcài tāng,
豆腐汤,tofu soup,dòufu tāng,
海带汤,kelp soup,hǎidài tāng,
白粥,plain porridge,báizhōu,
皮蛋瘦肉粥,century egg and pork congee,pídàn shòuròu zhōu,
牛肉面,beef noodles,niúròu miàn,
炸酱面,noodles with soybean paste,zhájiàng miàn,
担担面,Dandan noodles,dàndàn miàn,
凉面,cold noodles,liángmiàn,
锅贴,potsticker,guōtiē,
煎饺,pan-fried dumpling,jiānjiǎo,
水饺,boiled dumpling,shuǐjiǎo,
蒸饺,steamed dumpling,zhēngjiǎo,
素,sù,vegetarian,
荤,hūn,meat dish,
清真,halal,qīngzhēn,
牛奶咖啡,latte,niúnǎi kāfēi,
咖啡,coffee,kāfēi,
奶茶,milk tea,nǎichá,
珍珠奶茶,bubble tea,zhēnzhū nǎichá,
柠檬茶,lemon tea,níngméng chá,
橙汁,orange juice,chéngzhī,
苹果汁,apple juice,píngguǒ zhī,
西瓜汁,watermelon juice,xīguā zhī,
芒果汁,mango juice,mángguǒ zhī,
椰汁,coconut milk; coconut juice,yē zhī,
